No,year,month,day,hour,Rainfall,Dam cap.,Forestcov,Flo.inten
1,1951,1,1,0,13.1,1825.116,32,0
2,1951,4,1,1,366,1936.456,32,0
3,1951,8,1,2,1823.1,2047.796,32,3513
4,1951,12,1,3,503.4,2159.136,32,0
5,1952,1,1,4,53.4,2270.476,32.001,0
6,1952,4,1,5,347.6,2425.116,32.002,0
7,1952,8,1,6,1477.7,2426.456,32.003,3513
8,1952,12,1,7,456.1,2529.996,32.004,0
9,1953,1,1,8,35.7,2607.986,32.005,0
10,1953,4,1,9,206.3,2685.976,32.006,0
11,1953,8,1,10,1825,2763.966,32.007,3513
12,1953,12,1,11,477.8,2763.966,32.008,0
13,1954,1,1,12,26.3,2763.966,32.009,0
14,1954,4,1,13,407,2763.966,32.01,0
15,1954,8,1,14,2107.4,2763.966,32.011,3513
16,1954,12,1,15,397.2,2763.966,32.012,0
17,1955,1,1,16,10.5,2763.966,32.013,0
18,1955,4,1,17,698.3,2763.966,32.014,0
19,1955,8,1,18,1849.7,2763.966,32.015,3513
20,1955,12,1,19,576.1,2763.966,32.016,0
21,1956,1,1,20,19.6,2763.966,32.116,0
22,1956,4,1,21,518,2763.966,32.216,0
23,1956,8,1,22,1720.1,2763.966,32.316,3513
24,1956,12,1,23,540.6,2763.966,32.416,0
25,1957,1,2,0,17.2,2763.966,32.516,0
26,1957,4,2,1,477.1,2763.966,32.616,0
27,1957,8,2,2,2107.4,2763.966,32.716,3513
28,1957,12,2,3,501.5,2763.966,32.816,0
29,1958,1,2,4,23.7,2763.966,32.916,0
30,1958,4,2,5,545.9,2763.966,33.016,0
31,1958,8,2,6,1948.7,2763.966,33.116,3513
32,1958,12,2,7,404.8,2763.966,33.216,0
33,1959,1,2,8,24.4,2763.966,33.316,0
34,1959,4,2,9,504.2,2763.966,33.416,0
35,1959,8,2,10,2831.3,2763.966,33.516,3513
36,1959,12,2,11,386.3,2763.966,33.616,0
37,1960,1,2,12,17.8,2763.966,33.716,0
38,1960,4,2,13,791,2841.956,33.816,0
39,1960,8,2,14,1939.2,2841.957,33.916,9439
40,1960,12,2,15,637.6,2841.958,34.016,0
41,1961,1,2,16,45,2841.959,34.116,0
42,1961,4,2,17,606,2841.96,34.216,0
43,1961,8,2,18,3229.3,2841.961,34.316,9439
44,1961,12,2,19,377.6,2841.962,34.416,0
45,1962,1,2,20,83.1,2841.963,34.516,0
46,1962,4,2,21,607.1,2841.964,34.616,0
47,1962,8,2,22,2101.6,2841.965,34.716,9439
48,1962,12,2,23,584,2841.966,34.816,0
49,1963,1,3,0,55,2841.967,34.916,0
50,1963,4,3,1,323.2,2841.968,35.016,0
51,1963,8,3,2,1848.4,2841.969,35.116,9439
52,1963,12,3,3,424.4,2841.97,35.216,0
53,1963,1,3,4,8.9,2841.971,35.316,0
54,1964,4,3,5,245.3,2841.972,35.416,0
55,1964,8,3,6,2079.8,2841.973,35.516,9439
56,1964,12,3,7,535.2,2841.974,35.616,0
57,1964,1,3,8,10,2841.975,35.716,0
58,1965,4,3,9,352.6,2841.976,35.816,0
59,1965,8,3,10,1509,2841.977,35.916,9439
60,1965,12,3,11,470.9,2841.978,35.88035052,0
61,1965,1,3,12,9.9,2841.979,35.84470103,0
62,1966,4,3,13,330.3,2841.98,35.80905155,0
63,1966,8,3,14,1593.4,2841.981,35.77340206,9439
64,1966,12,3,15,688.2,2841.982,35.73775258,0
65,1966,1,3,16,14.4,2841.983,35.70210309,0
66,1967,4,3,17,339.6,2841.984,35.66645361,0
67,1967,8,3,18,1937.3,2841.985,35.63080412,9439
68,1967,12,3,19,277.8,2841.986,35.59515464,0
69,1967,1,3,20,37.8,2841.987,35.55950515,0
70,1968,4,3,21,312.5,2841.988,35.52385567,0
71,1968,8,3,22,2711.4,2841.989,35.48820619,9439
72,1968,12,3,23,331,2841.99,35.4525567,0
73,1968,1,4,0,9.1,2841.991,35.41690722,0
74,1969,4,4,1,364,2841.992,35.38125773,0
75,1969,8,4,2,1870.5,2841.993,35.34560825,9439
76,1969,12,4,3,421.3,2841.994,35.30995876,0
77,1969,1,4,4,30.5,2841.995,35.27430928,0
78,1970,4,4,5,447.6,2841.996,35.23865979,0
79,1970,8,4,6,1860.7,2841.997,35.20301031,9439
80,1970,12,4,7,364.5,2841.998,35.16736082,0
81,1970,1,4,8,50.1,2841.999,35.13171134,0
82,1971,4,4,9,450.5,2842,35.09606186,0
83,1971,8,4,10,2254.6,2842.001,35.06041237,25595
84,1971,12,4,11,321.5,2842.002,35.02476289,0
85,1971,1,4,12,10.1,2842.003,34.9891134,0
86,1972,4,4,13,526,2842.004,34.95346392,0
87,1972,8,4,14,1596.8,2842.005,34.91781443,25595
88,1972,12,4,15,606.3,2842.006,34.88216495,0
89,1972,1,4,16,0.3,2842.007,34.84651546,0
90,1973,4,4,17,263.7,2842.008,34.81086598,0
91,1973,8,4,18,1749.3,2842.009,34.77521649,25595
92,1973,12,4,19,399.1,2842.01,34.73956701,0
93,1973,1,4,20,7,2842.011,34.70391753,0
94,1974,4,4,21,365.5,2842.012,34.66826804,0
95,1974,8,4,22,2188.3,2842.013,34.63261856,25595
96,1974,12,4,23,206.7,2842.014,34.59696907,0
97,1974,1,5,0,26.6,2842.015,34.56131959,0
98,1975,4,5,1,349.4,2842.016,34.5256701,0
99,1975,8,5,2,2529.3,2842.017,34.49002062,25595
100,1975,12,5,3,593.1,2842.018,34.45437113,0
101,1975,1,5,4,1.6,2842.019,34.41872165,0
102,1976,4,5,5,231.3,2842.02,34.38307216,0
103,1976,8,5,6,1297.1,2842.021,34.34742268,25595
104,1976,12,5,7,538.8,2842.022,34.3117732,0
105,1976,1,5,8,16.8,2842.023,34.27612371,0
106,1977,4,5,9,437,2842.024,34.24047423,0
107,1977,8,5,10,1788.4,2842.025,34.20482474,25595
108,1977,12,5,11,805.4,2842.026,34.16917526,0
109,1977,1,5,12,18,2842.027,34.13352577,0
110,1978,4,5,13,502.1,2842.028,34.09787629,0
111,1978,8,5,14,2081,2842.029,34.0622268,25595
112,1978,12,5,15,575.6,2842.03,34.02657732,0
113,1978,1,5,16,32.4,2842.031,33.99092784,0
114,1979,4,5,17,181.4,2842.032,33.95527835,0
115,1979,8,5,18,1840.5,2842.033,33.91962887,25595
116,1979,12,5,19,448.8,2842.034,33.88397938,0
117,1979,1,5,20,0.9,2842.035,33.8483299,0
118,1979,4,5,21,240.9,2842.036,33.81268041,0
119,1980,8,5,22,2077.5,2842.037,33.77703093,25595
120,1980,12,5,23,484.1,2842.038,33.74138144,0
121,1980,1,6,0,13.8,2842.039,33.70573196,0
122,1980,4,6,1,270.7,2842.04,33.67008247,0
123,1981,8,6,2,2274.4,2842.041,33.63443299,19685
124,1981,12,6,3,446.9,2842.042,33.59878351,0
125,1981,1,6,4,0.8,2842.043,33.56313402,0
126,1981,4,6,5,230.5,2842.044,33.52748454,0
127,1982,8,6,6,1689.3,2842.045,33.49183505,19685
128,1982,12,6,7,302.7,2842.046,33.45618557,0
129,1982,1,6,8,1.7,2842.047,33.42053608,0
130,1982,4,6,9,90,2842.048,33.3848866,0
131,1983,8,6,10,1983.5,2842.049,33.34923711,19685
132,1983,12,6,11,321.8,2842.05,33.31358763,0
133,1983,1,6,12,96.8,2842.051,33.27793814,0
134,1983,4,6,13,342,2842.052,33.24228866,0
135,1984,8,6,14,1951.7,2842.053,33.20663918,19685
136,1984,12,6,15,371.7,2842.054,33.17098969,0
137,1984,1,6,16,67.3,2842.055,33.13534021,0
138,1984,4,6,17,350.1,2842.056,33.09969072,0
139,1985,8,6,18,1650.5,2842.057,33.06404124,19685
140,1985,12,6,19,322.9,2842.058,33.02839175,0
141,1985,1,6,20,24.3,2842.059,32.99274227,0
142,1985,4,6,21,201,2842.06,32.95709278,0
143,1986,8,6,22,1498.4,2842.061,32.9214433,19685
144,1986,12,6,23,369.7,2842.062,32.88579381,0
145,1986,1,7,0,1.4,2842.063,32.85014433,0
146,1986,4,7,1,169.8,2842.064,32.81449485,0
147,1987,8,7,2,1347.2,2842.065,32.77884536,19685
148,1987,12,7,3,619.2,2842.066,32.74319588,0
149,1987,1,7,4,18.3,2842.067,32.70754639,0
150,1987,4,7,5,372.9,2842.068,32.67189691,0
151,1988,8,7,6,1845.6,2842.069,32.63624742,19685
152,1988,12,7,7,166.6,2842.07,32.60059794,0
153,1988,1,7,8,10.3,2842.071,32.56494845,0
154,1988,4,7,9,341,2842.072,32.52929897,0
155,1989,8,7,10,1664.8,2842.073,32.49364948,19685
156,1989,12,7,11,406.5,2842.074,32.458,0
157,1989,1,7,12,19.7,2842.075,32.42235052,0
158,1989,4,7,13,548.3,2842.076,32.38670103,0
159,1990,8,7,14,1638.1,2842.077,32.35105155,19685
160,1990,12,7,15,487.2,2842.078,32.31540206,0
161,1990,1,7,16,15.3,2842.079,32.27975258,0
162,1990,4,7,17,243.6,2842.08,32.24410309,0
163,1991,8,7,18,2515.6,2842.081,32.20845361,18921
164,1991,12,7,19,410,2842.082,32.17280412,0
165,1991,1,7,20,3.3,2842.083,32.13715464,0
166,1991,4,7,21,261.5,2842.084,32.10150515,0
167,1992,8,7,22,2392.6,2842.085,32.06585567,18921
168,1992,12,7,23,582,2842.086,32.03020619,0
169,1992,1,8,0,17.8,2842.087,31.9945567,0
170,1992,4,8,1,245.6,2842.088,31.95890722,0
171,1993,8,8,2,1823.1,2842.089,31.92325773,18921
172,1993,12,8,3,631.2,2842.09,31.88760825,0
173,1993,1,8,4,51.4,2842.091,31.85195876,0
174,1993,4,8,5,313.9,2842.092,31.81630928,0
175,1994,8,8,6,2493,2842.093,31.78065979,18921
176,1994,12,8,7,552.5,2842.094,31.74501031,0
177,1994,1,8,8,16.8,2842.095,31.70936082,0
178,1994,4,8,9,527.8,2842.096,31.67371134,0
179,1995,8,8,10,1933.2,2842.097,31.63806186,18921
180,1995,12,8,11,381,2842.098,31.60241237,0
181,1995,1,8,12,11.9,2842.099,31.56676289,0
182,1995,4,8,13,213,2842.1,31.5311134,0
183,1995,8,8,14,1938.5,2842.101,31.49546392,18921
184,1996,12,8,15,446.5,2842.102,31.45981443,0
185,1996,1,8,16,3.6,2842.103,31.42416495,0
186,1996,4,8,17,230.3,2842.104,31.38851546,0
187,1996,8,8,18,2342.9,2842.105,31.35286598,18921
188,1997,12,8,19,675.7,2842.106,31.31721649,0
189,1997,1,8,20,8.1,2842.107,31.28156701,0
190,1997,4,8,21,220.8,2842.108,31.24591753,0
191,1997,8,8,22,2263.3,2842.109,31.21026804,18921
192,1998,12,8,23,659.2,2842.11,31.17461856,0
193,1998,1,9,0,25.6,2842.111,31.13896907,0
194,1998,4,9,1,586.2,2842.112,31.10331959,0
195,1998,8,9,2,1662,2842.113,31.0676701,18921
196,1999,12,9,3,640.9,2842.114,31.03202062,0
197,1999,1,9,4,69.5,2842.115,30.99637113,0
198,1999,4,9,5,242.3,2842.116,30.96072165,0
199,1999,8,9,6,1739.3,2842.117,30.92507216,18921
200,2000,12,9,7,361.4,2842.118,30.88942268,0
201,2000,1,9,8,49.2,2842.119,30.8537732,0
202,2000,4,9,9,483.4,2842.12,30.81812371,0
203,2000,8,9,10,1869.3,2842.121,30.78247423,18670
204,2001,12,9,11,508.7,2842.122,30.74682474,0
205,2001,1,9,12,16.4,2842.123,30.71117526,0
206,2001,4,9,13,492.1,3346.624,30.67552577,0
207,2001,8,9,14,1321.9,3346.624,30.63987629,18670
208,2002,12,9,15,626.9,3346.624,30.6042268,0
209,2002,1,9,16,54.1,3150.997,30.56857732,0
210,2002,4,9,17,283.3,3151.997,30.53292784,0
211,2002,8,9,18,1455.9,3152.997,30.49727835,18670
212,2003,12,9,19,482.5,3153.997,30.46162887,0
213,2003,1,9,20,8.9,3154.997,30.42597938,0
214,2003,4,9,21,741.8,3155.997,30.3903299,0
215,2003,8,9,22,1722.9,3156.997,30.35468041,18670
216,2004,12,9,23,437.7,3157.997,30.31903093,0
217,2004,1,10,0,25.3,3158.997,30.28338144,0
218,2004,4,10,1,366,3159.997,30.24773196,0
219,2004,8,10,2,2244.7,3160.997,30.21208247,18670
220,2005,12,10,3,515,3161.997,30.17643299,0
221,2005,1,10,4,9.6,3162.997,30.14078351,0
222,2005,4,10,5,674.3,3163.997,30.10513402,0
223,2005,8,10,6,2024.1,3164.997,30.06948454,18670
224,2006,12,10,7,589.7,3165.997,30.03383505,0
225,2006,1,10,8,6,3166.997,29.99818557,0
226,2006,4,10,9,354.1,3167.997,29.96253608,0
227,2006,8,10,10,2786.2,3168.997,29.9268866,18670
228,2007,12,10,11,473.2,3169.997,29.89123711,0
229,2007,1,10,12,30.5,3170.997,29.85558763,0
230,2007,4,10,13,398.3,3171.997,29.81993814,0
231,2007,8,10,14,1678.4,3172.997,29.78428866,18670
232,2008,12,10,15,427,3173.997,29.74863918,0
233,2008,1,10,16,4.5,3174.997,29.71298969,0
234,2008,4,10,17,322.4,3175.997,29.67734021,0
235,2008,8,10,18,1959,3176.997,29.64169072,18670
236,2009,12,10,19,530,3177.997,29.60604124,0
237,2009,1,10,20,19.4,3178.997,29.57039175,0
238,2009,4,10,21,362,3179.997,29.53474227,0
239,2009,8,10,22,1931.2,3180.997,29.49909278,18670
240,2010,12,10,23,829.4,3181.997,29.4634433,0
241,2010,1,11,0,66.7,3182.997,29.42779381,0
242,2010,4,11,1,312.1,3183.997,29.39214433,0
243,2010,8,11,2,2216.1,3184.997,29.35649485,18670
244,2011,12,11,3,446.7,3185.997,29.32084536,0
245,2011,1,11,4,16.5,3186.997,29.28519588,0
246,2011,4,11,5,310.9,3187.997,29.24954639,0
247,2011,8,11,6,1547.8,3188.997,29.21389691,18670
248,2011,12,11,7,312.4,3189.997,29.17824742,0
249,2012,1,11,8,44,3190.997,29.14259794,0
250,2012,4,11,9,218.5,3155.116,29.10694845,0
251,2012,8,11,10,2561.2,2126.456,29.07129897,11087
252,2012,12,11,11,431.8,2171.387,29.03564948,0
253,2013,1,11,12,14.9,2900.232,29,0
254,2013,4,11,13,364.5,3346.624,29,0
255,2013,8,11,14,2164.8,3346.624,29,11087
256,2013,12,11,15,502.1,3346.624,29,0
